Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""""","=""""",0,3.80,Hogarth,Kindle Edition,304,2017,2017,,2023/01/15,currently-reading,currently-reading (#1),currently-reading,,,,1,0
15749863,"Aleación de ley (Nacidos de la Bruma, #4)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466651756""","=""9788466651752""",5,4.21,Ediciones B,Paperback,368,2012,2011,2023/01/15,2021/03/27,,,read,,,,2,0
57743838,"Nacidos de la Bruma: Historia Secreta (Nacidos de la Bruma, #3.5)",Brandon Sanderson,"Sanderson, Brandon",Manu Viciano,"=""""","=""""",5,4.37,Nova,ebook,155,2017,2016,2023/01/09,2022/12/31,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,4.65,Tor Books,Hardcover,1007,2010,2010,,2020/05/06,owned,owned (#38),read,,,,1,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",5,4.75,Tor Books,Hardcover,1087,2014,2014,2021/03/27,2020/05/06,owned,owned (#37),read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""076532637X""","=""9780765326379""",5,4.62,Tor Books,Hardcover,1248,2017,2017,,2020/05/06,owned,owned (#36),read,,,,1,0
372389,"Dioses menores (Mundodisco, #13)",Terry Pratchett,"Pratchett, Terry",,"=""8497592247""","=""9788497592246""",5,4.31,DeBolsillo,Paperback,350,2003,1992,,2021/03/27,owned,owned (#35),read,,,,1,0
54317058,"El ritmo de la guerra  (El archivo de las tormentas, #4)",Brandon Sanderson,"Sanderson, Brandon","Manu Viciano, Antonio Torrubia","=""""","=""""",5,4.62,Nova CF,Hardcover,1424,2020,2020,,2021/03/27,owned,owned (#34),read,,,,1,0
35377546,"Siega (El arco de la guadaña, #1)",Neal Shusterman,"Shusterman, Neal",Pilar Ramírez Tello,"=""8416858241""","=""9788416858248""",4,4.33,Nocturna,Paperback,524,2017,2016,2021/03/24,2021/03/27,owned,owned (#33),read,"Plantea un mundo muy interesante, para mí lo más atractivo del libro, con ese futuro distópico y cómo gestionan la muerte. El hilo conductor del libro es muy dinámico, se lee enseguida y engancha.<br/><br/>Pero, para mí, tiene dos pequeños problemas: su lógica interna y los personajes. En cuanto a la primera, creo que se generan situaciones un poco forzadas para mantener la trama interesante, lo que hace que pierda un poco la gracia. En cuanto a los personajes, sobre todo al principio, encuentro que son un poco planos y difíciles de empatizar; si bien es cierto que esto acaba mejorando.<br/><br/>En general, es un libro que he disfrutado (y espero que siga con las siguientes entregas) y que recomiendo, aunque no creo que sea un libro indispensable de leer.",,,1,0
43808626,"Nimbo (El arco de la guadaña, #2)",Neal Shusterman,"Shusterman, Neal",Pilar Ramírez Tello,"=""""","=""""",5,4.42,Nocturna,Kindle Edition,535,2019,2018,2021/04/03,2021/03/27,owned,owned (#32),read,,,,1,0
54223481,"Trueno (El arco de la guadaña, #3)",Neal Shusterman,"Shusterman, Neal",Pilar Ramírez Tello,"=""8417834613""","=""9788417834616""",5,4.21,Nocturna,Paperback,721,2020,2019,2021/04/09,2021/03/27,owned,owned (#31),read,,,,1,0
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",3,4.24,Harpertorch,Mass Market Paperback,243,2001,1987,2021/04/12,2021/04/09,owned,owned (#30),read,,,,2,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",3,4.25,Ace Books,Hardcover,658,2019,1965,2021/04/30,2021/03/29,owned,owned (#29),read,,,,1,0
22064268,"Aprendiz de asesino (Trilogía del asesino, #1)",Robin Hobb,"Hobb, Robin",Manuel de los Reyes,"=""6073123582""","=""9786073123587""",5,4.17,Plaza & Janés México,Paperback,392,2014,1995,2021/07/13,2021/07/04,owned,owned (#28),read,,,,1,0
22064295,"Asesino real (Trilogía del asesino, #2)",Robin Hobb,"Hobb, Robin",,"=""6073123817""","=""9786073123815""",4,4.25,Plaza & Janés México,Paperback,656,2014,1996,2021/08/12,2021/07/15,owned,owned (#27),read,,,,1,0
22699199,"La búsqueda del asesino (Trilogía del Vatídico, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""9788490623022""",2,4.19,DeBolsillo,Bolsillo,832,2014,1997,2021/09/12,2021/07/15,owned,owned (#26),read,,,,1,0
53728,"El mesías de Dune (Crónicas de Dune, #2)",Frank Herbert,"Herbert, Frank",,"=""8497596676""","=""9788497596671""",0,3.89,Debolsillo,Mass Market Paperback,306,2003,1969,2021/10/16,2021/10/12,owned,owned (#25),read,,,,1,0
57213912,"La estirpe de Lilith (Trilogía Xenogénesis, #1-3)",Octavia E. Butler,"Butler, Octavia E.",Luis García Vigil,"=""8418037105""","=""9788418037108""",4,4.37,Nova,Hardcover,928,2021,1987,2021/12/15,2021/10/04,owned,owned (#24),read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, André Gide, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg, Gregorio Martínez Sierra","=""0521618746""","=""9780521618748""",2,4.03,Cambridge University Press,Paperback,289,2005,1601,2022/01/20,2022/01/13,owned,owned (#23),read,,,,1,0
68035,"Un mago de Terramar (Historias de Terramar, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",Matilde Horne,"=""8445075292""","=""9788445075296""",4,4.01,Minotauro,Paperback,222,2004,1968,,2022/01/24,owned,owned (#22),read,,,,1,0
92615,"Las tumbas de Atuan (Historias de Terramar, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",Matilde Horne,"=""8445075306""","=""9788445075302""",4,4.11,Minotauro,Paperback,173,2004,1970,2022/02/06,2022/01/25,owned,owned (#21),read,,,,1,0
40493707,A Very Short History of Portugal,A.H. de Oliveira Marques,"Marques, A.H. de Oliveira",João José Alves Dias,"=""""","=""9789896714208""",1,3.29,Tinta da China,Paperback,245,2018,,2022/03/03,2022/01/29,owned,owned (#20),read,,,,1,0
6483211,"El nombre del viento (Crónica del asesino de reyes, #1)",Patrick Rothfuss,"Rothfuss, Patrick",Gemma Rovira,"=""8401337208""","=""9788401337208""",5,4.52,Plaza & Janés,Paperback,872,2009,2007,2022/03/27,2022/01/08,owned,owned (#19),read,,,,1,0
59922709,Orgullo y Prejuicio,Jane Austen,"Austen, Jane",,"=""""","=""""",4,4.28,RBA,Hardcover,319,2020,1813,2022/05/07,2022/04/28,owned,owned (#18),read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,2022/05/15,2021/03/27,owned,owned (#17),read,,,,1,0
50076403,Gente normal,Sally Rooney,"Rooney, Sally",Inga Pellisa,"=""8439736312""","=""9788439736318""",5,3.82,Literatura Random House,Paperback,256,2019,2018,2022/05/16,2022/04/24,owned,owned (#16),read,,,,1,0
1009949,Los viajes de Gulliver,Jonathan Swift,"Swift, Jonathan",Paula Arenas,"=""8497647009""","=""9788497647007""",1,3.58,Edimat Libros,Paperback,376,2006,1726,2022/06/01,2022/05/17,owned,owned (#15),read,,,,1,0
802160,Flores en la tormenta,Laura Kinsale,"Kinsale, Laura",Ana Eiroa Guillén,"=""848346280X""","=""9788483462805""",4,4.08,DeBolsillo,Paperback,544,2007,1992,2022/06/16,2022/06/02,owned,owned (#14),read,,,,1,0
59781797,El gato que amaba los libros,Sōsuke Natsukawa,"Natsukawa, Sōsuke",Marta Morros Serret,"=""8425359937""","=""9788425359934""",3,3.73,Editorial Grijalbo,Paperback,256,2022,2017,2022/06/19,2022/05/18,owned,owned (#13),read,,,,1,0
55170929,Un amor,Sara Mesa,"Mesa, Sara",,"=""""","=""""",4,3.56,Anagrama,Kindle Edition,132,2020,2020,2022/06/20,2022/01/26,owned,owned (#12),read,,,,1,0
789326,"El color de la magia (Mundodisco, #1)",Terry Pratchett,"Pratchett, Terry",Cristina Macía,"=""849759679X""","=""9788497596794""",1,4.00,DeBolsillo,Paperback,288,2003,1983,2022/07/30,2022/07/12,owned,owned (#11),read,,,,1,0
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",5,3.57,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,,2022/08/06,owned,owned (#10),read,,,,1,0
55730815,Aquitania,Eva García Sáenz de Urturi,"Urturi, Eva García Sáenz de",,"=""8408235516""","=""9788408235514""",4,3.78,Planeta,Hardcover,416,2020,2020,2022/08/12,2022/08/07,owned,owned (#9),read,,,,1,0
28487182,"El problema de los tres cuerpos (Trilogía de los Tres Cuerpos, #1)",Liu Cixin,"Cixin, Liu",Javier Altayó,"=""8466659730""","=""9788466659734""",4,4.08,NOVA,Paperback,416,2016,2006,2022/08/17,2021/08/23,owned,owned (#8),read,,,,1,0
32827084,"El bosque oscuro (Trilogía de los Tres Cuerpos, #2)",Liu Cixin,"Cixin, Liu","Javier Altayó, Jianguo Feng","=""8466660925""","=""9788466660921""",5,4.41,NOVA,Paperback,576,2017,2008,2022/09/28,2022/08/17,owned,owned (#7),read,,,,1,0
58111092,La maldición del tranvía 015,P. Djèlí Clark,"Clark, P. Djèlí",Rebeca Cardeñoso,"=""""","=""9788412319668""",2,4.01,Duermevela Ediciones,Paperback,165,2021,2019,2022/09/24,2022/05/31,owned,owned (#6),read,,,,1,0
32827109,"El fin de la muerte (Trilogía de los Tres Cuerpos, #3)",Liu Cixin,"Cixin, Liu",Agustín Alepuz Morales,"=""8417347011""","=""9788417347017""",4,4.43,NOVA,Paperback,734,2018,2010,2022/10/20,2022/09/29,owned,owned (#5),read,,,,1,0
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",3,4.10,Harper Perennial,Paperback,248,2006,1998,2022/11/11,2021/03/27,owned,owned (#4),read,,,,1,0
7183286,"El imperio final (Nacidos de la bruma, #1)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466631992""","=""9788466631990""",5,4.47,Ediciones B,Paperback,690,2007,2006,2022/11/17,2021/03/27,owned,owned (#3),read,,,,2,0
6568801,"El pozo de la ascensión (Nacidos de la bruma, #2)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466637834""","=""9788466637831""",5,4.38,Ediciones B,Paperback,800,2009,2007,2022/12/09,2021/03/27,owned,owned (#2),read,,,,2,0
7935023,"El héroe de las eras (Nacidos de la Bruma, #3)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466643826""","=""9788466643825""",5,4.52,Ediciones B,Hardcover,768,2010,2008,2022/12/31,2021/03/27,owned,owned (#1),read,,,,2,0
42201431,The Unhoneymooners,Christina Lauren,"Lauren, Christina",,"=""""","=""""",0,3.96,Gallery Books,Paperback,400,2019,2019,,2022/08/02,to-read,to-read (#65),to-read,,,,0,0
61767292,"Icebreaker (UCMH, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",0,4.14,Pig & Bear Publishing,Kindle Edition,435,2022,2022,,2022/12/27,to-read,to-read (#64),to-read,,,,0,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",0,4.52,Tor Books,Hardcover,507,2022,2022,,2022/12/20,to-read,to-read (#63),to-read,,,,0,0
63046790,Midnight Kisses,Jeanine Bennedict,"Bennedict, Jeanine",,"=""""","=""""",0,3.70,Kindle Unlimited,Paperback,,2022,,,2022/12/15,to-read,to-read (#62),to-read,,,,0,0
95525,El proceso,Franz Kafka,"Kafka, Franz",,"=""8495311313""","=""9788495311313""",0,3.96,Mestas Ediciones,Paperback,249,2003,1925,,2022/12/14,to-read,to-read (#61),to-read,,,,0,0
59482692,Last Time We Met,Emily Houghton,"Houghton, Emily",,"=""1529176700""","=""9781529176704""",0,3.58,Penguin,Paperback,416,2022,2022,,2022/12/07,to-read,to-read (#60),to-read,,,,0,0
60095070,So This Is Christmas (Christmas in Eldovia #3),Jenny Holiday,"Holiday, Jenny",,"=""0062952129""","=""9780062952127""",0,3.49,Avon US,Paperback,384,2023,2022,,2022/12/07,to-read,to-read (#59),to-read,,,,0,0
60092691,All I Want for Christmas,Maggie Knox,"Knox, Maggie",,"=""0735241120""","=""9780735241121""",0,3.25,Viking,Paperback,352,2022,2022,,2022/12/07,to-read,to-read (#58),to-read,,,,0,0
60060431,"Things We Never Got Over (Knockemout, #1)",Lucy Score,"Score, Lucy",,"=""""","=""""",3,4.27,That's What She Said Publishing,Kindle Edition,572,2022,2022,2022/12/07,2022/06/27,,,read,,,,1,0
56377192,The Last Chance Library,Freya Sampson,"Sampson, Freya",,"=""0593201388""","=""9780593201381""",3,3.76,Berkley Books,Paperback,336,2021,2021,2022/11/25,2022/11/20,,,read,,,,1,0
60590666,Arena Blanca ómnibus (Arena Blanca #1-3),Brandon Sanderson,"Sanderson, Brandon","Manu Viciano, Rik Hoskin, Fritz Casas, Julius Gopez","=""""","=""9788418037429""",3,3.71,Nova CF,Hardcover,496,2022,,2022/11/22,2022/11/18,,,read,,,,1,0
58283080,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,"Bailey, Tessa",,"=""0063045699""","=""9780063045699""",3,4.02,Avon US,Paperback,353,2022,2022,,2022/10/25,,,read,,,,1,0
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",3,4.05,Avon,Paperback,416,2021,2021,2022/10/24,2022/09/25,,,read,,,,1,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.94,Knopf,Hardcover,925,2011,2009,,2022/10/07,to-read,to-read (#57),to-read,,,,0,0
58679358,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"McManus, Karen M.",,"=""0593565371""","=""9780593565377""",0,3.98,Delacorte Press,Hardcover,416,2021,2017,,2022/10/01,to-read,to-read (#56),to-read,,,,0,0
35796008,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,"Pearson, Mary E.",,"=""1250159016""","=""9781250159014""",0,4.20,Henry Holt and Co. (BYR),Hardcover,512,2018,2018,,2022/09/30,to-read,to-read (#55),to-read,,,,0,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",0,4.23,Flatiron Books,Hardcover,354,2017,2017,,2022/09/30,to-read,to-read (#54),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.17,Vintage,Paperback,559,2004,1992,,2022/09/30,to-read,to-read (#53),to-read,,,,0,0
13153370,My Policeman,Bethan Roberts,"Roberts, Bethan","Emma Powell, Piers Hampton","=""0701185848""","=""9780701185848""",0,4.06,Chatto  Windus,Hardcover,352,2012,2021,,2022/09/25,to-read,to-read (#52),to-read,,,,0,0
44890081,My Dark Vanessa,Kate Elizabeth Russell,"Russell, Kate Elizabeth",,"=""006294150X""","=""9780062941503""",0,4.09,William Morrow,Hardcover,373,2020,2020,,2022/09/25,to-read,to-read (#51),to-read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.88,Penguin,Paperback,331,1995,1955,,2022/09/25,to-read,to-read (#50),to-read,,,,0,0
42815544,Bunny,Mona Awad,"Awad, Mona",,"=""0525559736""","=""9780525559733""",0,3.57,Viking,Hardcover,307,2019,2019,,2022/09/25,to-read,to-read (#49),to-read,,,,0,0
60114057,"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,"Armas, Elena",,"=""1668002779""","=""9781668002773""",4,3.93,Atria Books,Paperback,400,2022,2022,2022/09/22,2022/09/19,,,read,,,,1,0
58100280,The Cheat Sheet,Sarah       Adams,"Adams, Sarah",,"=""""","=""""",3,3.76,,Kindle Edition,306,2021,2021,2022/09/13,2022/06/02,,,read,,,,1,0
57693481,"Good Girl Complex (Avalon Bay, #1)",Elle Kennedy,"Kennedy, Elle",,"=""1250796733""","=""9781250796738""",4,3.60,St. Martin's Griffin,Paperback,368,2022,2022,2022/09/08,2022/06/02,,,read,,,,1,0
51171377,"Axiom's End (Noumena, #1)",Lindsay  Ellis,"Ellis, Lindsay",,"=""1250256739""","=""9781250256737""",0,3.73,St. Martin's Press,Hardcover,384,2020,2020,,2022/09/03,to-read,to-read (#48),to-read,,,,0,0
56356347,"Reyes de la Tierra Salvaje (La Banda, #1)",Nicholas Eames,"Eames, Nicholas",David Tejera Expósito,"=""8412299248""","=""9788412299243""",3,4.29,Gamon,Hardcover,544,2021,2017,2022/07/08,2021/10/06,,,read,,,,1,0
56554626,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,"Sterling, Erin",,"=""006302747X""","=""9780063027473""",0,3.54,Avon,Paperback,308,2021,2021,,2022/09/01,to-read,to-read (#47),to-read,,,,0,0
58014893,Every Summer After,Carley Fortune,"Fortune, Carley",,"=""0593438531""","=""9780593438534""",5,4.30,Berkley,Paperback,320,2022,2022,2022/08/31,2022/08/01,,,read,,,,1,0
